scope,target,target_display,model_a,model_b,n_paired,n_positive,n_negative,AUROC_a,AUROC_b,AUROC_diff_a_minus_b,bootstrap_diff_ci95_lower,bootstrap_diff_ci95_upper,bootstrap_p_two_sided,bootstrap_n_valid,delong_p,delong_status,delong_auc_a,delong_auc_b,bootstrap_p_two_sided_fdr_bh,delong_p_fdr_bh
internal_locked_test,target_er,ER,all_features|simple_combat|pls_logistic,radiomics_pure|eb_combat|pls_logistic,16,7,9,0.3968253968253968,0.7301587301587302,-0.3333333333333334,-0.6825595238095238,1.3877787807864944e-18,0.055314895034988334,3000,0.05523425371806384,ok,0.39682539682539686,0.7301587301587302,0.20743085638120626,0.2071284514427394
internal_locked_test,target_her2,HER2,all_features|simple_combat|pls_logistic,radiomics_pure|eb_combat|pls_logistic,17,9,8,0.5,0.4722222222222222,0.02777777777777779,0.0,0.11111111111111105,0.6457847384205265,3000,0.282580109315006,ok,0.5,0.4722222222222223,1.0,1.0
internal_locked_test,target_her2,HER2,all_features|simple_combat|pls_logistic,radiomics_pure|none|pls_logistic,17,9,8,0.5,0.48611111111111105,0.01388888888888895,-0.05769230769230771,0.09999999999999998,0.9376874375208264,3000,0.695679616399784,ok,0.5,0.48611111111111116,1.0,1.0
internal_locked_test,target_her2,HER2,all_features|eb_combat|pls_logistic,all_features|none|pls_logistic,17,9,8,0.4722222222222222,0.4722222222222222,0.0,-0.07692307692307687,0.06949404761904783,1.0,3000,1.0,ok,0.4722222222222223,0.4722222222222223,1.0,1.0
internal_locked_test,target_her2,HER2,all_features|eb_combat|pls_logistic,radiomics_pure|eb_combat|pls_logistic,17,9,8,0.4722222222222222,0.4722222222222222,0.0,0.0,0.0,1.0,3000,,ok,0.4722222222222223,0.4722222222222223,1.0,
internal_locked_test,target_her2,HER2,all_features|none|pls_logistic,radiomics_pure|eb_combat|pls_logistic,17,9,8,0.4722222222222222,0.4722222222222222,0.0,-0.06949404761904764,0.07692307692307687,1.0,3000,1.0,ok,0.4722222222222223,0.4722222222222223,1.0,1.0
internal_locked_test,target_her2,HER2,all_features|simple_combat|pls_logistic,radiomics_pure|simple_combat|pls_logistic,17,9,8,0.5,0.5,0.0,-0.07575757575757575,0.0714285714285714,1.0,3000,1.0,ok,0.5,0.5,1.0,1.0
internal_locked_test,target_her2,HER2,all_features|eb_combat|pls_logistic,radiomics_pure|none|pls_logistic,17,9,8,0.4722222222222222,0.48611111111111105,-0.01388888888888884,-0.12508928571428574,0.09090909090909088,0.9270243252249251,3000,0.784378901614976,ok,0.4722222222222223,0.48611111111111116,1.0,1.0
internal_locked_test,target_her2,HER2,all_features|none|pls_logistic,radiomics_pure|none|pls_logistic,17,9,8,0.4722222222222222,0.48611111111111105,-0.01388888888888884,-0.1499999999999999,0.09090909090909094,1.0,3000,0.8132997333422022,ok,0.4722222222222223,0.48611111111111116,1.0,1.0
internal_locked_test,target_her2,HER2,radiomics_pure|eb_combat|pls_logistic,radiomics_pure|none|pls_logistic,17,9,8,0.4722222222222222,0.48611111111111105,-0.01388888888888884,-0.12508928571428574,0.09090909090909088,0.9276907697434189,3000,0.784378901614976,ok,0.4722222222222223,0.48611111111111116,1.0,1.0
internal_locked_test,target_her2,HER2,radiomics_pure|none|pls_logistic,radiomics_pure|simple_combat|pls_logistic,17,9,8,0.48611111111111105,0.5,-0.01388888888888895,-0.1166666666666667,0.09999999999999998,0.8457180939686771,3000,0.784378901614976,ok,0.48611111111111116,0.5,1.0,1.0
internal_locked_test,target_her2,HER2,all_features|eb_combat|pls_logistic,all_features|simple_combat|pls_logistic,17,9,8,0.4722222222222222,0.5,-0.02777777777777779,-0.11111111111111105,0.0,0.6444518493835388,3000,0.282580109315006,ok,0.4722222222222223,0.5,1.0,1.0
