feature,importance,importance_std,importance_type
patient_original_firstorder_variance_std,0.0,0.0,permutation_roc_auc_locked_test
patient_original_glcm_autocorrelation_cv,0.0,0.0,permutation_roc_auc_locked_test
patient_original_glcm_autocorrelation_iqr,0.0,0.0,permutation_roc_auc_locked_test
patient_original_glcm_autocorrelation_max,0.0,0.0,permutation_roc_auc_locked_test
patient_original_glcm_autocorrelation_mean,0.0,0.0,permutation_roc_auc_locked_test
patient_original_glcm_autocorrelation_min,0.0,0.0,permutation_roc_auc_locked_test
patient_original_glcm_autocorrelation_std,0.0,0.0,permutation_roc_auc_locked_test
patient_original_glcm_clusterprominence_cv,0.0,0.0,permutation_roc_auc_locked_test
patient_original_glcm_clusterprominence_iqr,0.0,0.0,permutation_roc_auc_locked_test
patient_original_glcm_clusterprominence_max,0.0,0.0,permutation_roc_auc_locked_test
patient_original_glcm_clusterprominence_mean,0.0,0.0,permutation_roc_auc_locked_test
patient_original_glcm_clusterprominence_min,0.0,0.0,permutation_roc_auc_locked_test
patient_original_firstorder_range_mean,0.0,0.0,permutation_roc_auc_locked_test
patient_original_glcm_clusterprominence_std,0.0,0.0,permutation_roc_auc_locked_test
patient_original_glcm_clustershade_cv,0.0,0.0,permutation_roc_auc_locked_test
patient_original_glcm_clustershade_iqr,0.0,0.0,permutation_roc_auc_locked_test
patient_original_glcm_clustershade_max,0.0,0.0,permutation_roc_auc_locked_test
patient_original_glcm_clustershade_mean,0.0,0.0,permutation_roc_auc_locked_test
patient_original_glcm_clustershade_min,0.0,0.0,permutation_roc_auc_locked_test
patient_original_glcm_clustershade_std,0.0,0.0,permutation_roc_auc_locked_test
patient_original_gldm_dependencenonuniformity_cv,0.0,0.0,permutation_roc_auc_locked_test
patient_original_gldm_dependencenonuniformity_iqr,0.0,0.0,permutation_roc_auc_locked_test
patient_original_gldm_dependencenonuniformity_max,0.0,0.0,permutation_roc_auc_locked_test
patient_original_gldm_dependencenonuniformity_mean,0.0,0.0,permutation_roc_auc_locked_test
patient_original_gldm_dependencenonuniformity_min,0.0,0.0,permutation_roc_auc_locked_test
patient_original_gldm_dependencenonuniformity_std,0.0,0.0,permutation_roc_auc_locked_test
patient_original_gldm_graylevelnonuniformity_cv,0.0,0.0,permutation_roc_auc_locked_test
patient_original_gldm_graylevelnonuniformity_iqr,0.0,0.0,permutation_roc_auc_locked_test
patient_original_gldm_graylevelnonuniformity_max,0.0,0.0,permutation_roc_auc_locked_test
patient_original_gldm_graylevelnonuniformity_mean,0.0,0.0,permutation_roc_auc_locked_test
patient_original_gldm_graylevelnonuniformity_min,0.0,0.0,permutation_roc_auc_locked_test
patient_original_gldm_graylevelnonuniformity_std,0.0,0.0,permutation_roc_auc_locked_test
patient_original_gldm_highgraylevelemphasis_cv,0.0,0.0,permutation_roc_auc_locked_test
patient_original_gldm_highgraylevelemphasis_iqr,0.0,0.0,permutation_roc_auc_locked_test
patient_original_gldm_highgraylevelemphasis_max,0.0,0.0,permutation_roc_auc_locked_test
patient_original_gldm_highgraylevelemphasis_mean,0.0,0.0,permutation_roc_auc_locked_test
patient_original_gldm_highgraylevelemphasis_min,0.0,0.0,permutation_roc_auc_locked_test
patient_original_gldm_highgraylevelemphasis_std,0.0,0.0,permutation_roc_auc_locked_test
patient_original_gldm_largedependencehighgraylevelemphasis_cv,0.0,0.0,permutation_roc_auc_locked_test
patient_original_gldm_largedependencehighgraylevelemphasis_iqr,0.0,0.0,permutation_roc_auc_locked_test
patient_original_gldm_largedependencehighgraylevelemphasis_max,0.0,0.0,permutation_roc_auc_locked_test
patient_original_gldm_largedependencehighgraylevelemphasis_mean,0.0,0.0,permutation_roc_auc_locked_test
patient_original_gldm_largedependencehighgraylevelemphasis_min,0.0,0.0,permutation_roc_auc_locked_test
patient_original_gldm_largedependencehighgraylevelemphasis_std,0.0,0.0,permutation_roc_auc_locked_test
patient_original_glrlm_graylevelnonuniformity_cv,0.0,0.0,permutation_roc_auc_locked_test
patient_original_glrlm_graylevelnonuniformity_iqr,0.0,0.0,permutation_roc_auc_locked_test
patient_original_glrlm_graylevelnonuniformity_max,0.0,0.0,permutation_roc_auc_locked_test
patient_original_shape_surfacevolumeratio_iqr,0.0,0.0,permutation_roc_auc_locked_test
patient_original_glrlm_graylevelnonuniformity_min,0.0,0.0,permutation_roc_auc_locked_test
patient_original_glrlm_graylevelnonuniformity_std,0.0,0.0,permutation_roc_auc_locked_test
patient_original_glrlm_highgraylevelrunemphasis_cv,0.0,0.0,permutation_roc_auc_locked_test
patient_original_glrlm_highgraylevelrunemphasis_iqr,0.0,0.0,permutation_roc_auc_locked_test
patient_original_glrlm_highgraylevelrunemphasis_max,0.0,0.0,permutation_roc_auc_locked_test
patient_original_glrlm_highgraylevelrunemphasis_mean,0.0,0.0,permutation_roc_auc_locked_test
patient_original_glrlm_highgraylevelrunemphasis_min,0.0,0.0,permutation_roc_auc_locked_test
