target,target_display,scenario,feature_set_variant,model,model_display,mean_inner_cv_auroc,std_inner_cv_auroc,n_outer_folds_as_winner
target_pr,PR,nested_cv_leakage_safe,radiomics_plus_burden,extra_trees,Extra Trees,0.4750649350649351,0.08622097059920379,0
target_pr,PR,nested_cv_leakage_safe,radiomics_plus_burden,svm_linear,Linear SVM (Calibrated),0.4727272727272728,0.06634557520880571,0
target_pr,PR,nested_cv_leakage_safe,radiomics_pure,elastic_net_sparse,Elastic Net (Sparse),0.5235353535353535,0.07530535542539483,2
target_pr,PR,nested_cv_leakage_safe,radiomics_pure,lgbm,LightGBM,0.508472582972583,0.06811897779821025,1
target_pr,PR,nested_cv_leakage_safe,radiomics_pure,elastic_net_strong,Elastic Net (Strong),0.5022337662337664,0.08698457482091367,0
target_pr,PR,nested_cv_leakage_safe,radiomics_pure,elastic_net,Elastic Net (L1+L2),0.5011572871572871,0.0701797905450227,1
target_pr,PR,nested_cv_leakage_safe,radiomics_pure,xgb,XGBoost,0.4960966810966811,0.04419780801238805,1
target_pr,PR,nested_cv_leakage_safe,radiomics_pure,pls_logistic,PLS + Logistic,0.49463636363636365,0.0652541503799549,0
target_pr,PR,nested_cv_leakage_safe,radiomics_pure,lgbm_strong,LightGBM (Strong Reg.),0.48832251082251077,0.07281741304547548,0
target_pr,PR,nested_cv_leakage_safe,radiomics_pure,svm_linear,Linear SVM (Calibrated),0.4877200577200577,0.06634247430238031,0
target_pr,PR,nested_cv_leakage_safe,radiomics_pure,extra_trees,Extra Trees,0.47471139971139964,0.06811340544201165,0
